timestamp,verification_result,num_faces,iris_pos,iris_ratio,mouth_zone,mouth_area,x_rotation,y_rotation,z_rotation,radial_distance,gaze_direction,gaze_zone,watch,headphone,closedbook,earpiece,cell phone,openbook,chits,sheet,H-Distance,F-Distance,split,video,is_cheating
0-01-53.850000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-00.700000,1,1.0,0,0.4248215775841254,0,40.0,0.0,0.0,0.0,4.034371075342844,0,0,0,0,0,0,1,0,0,0,105.89145385724005,10000.0,Train,Video1,1
0-00-30.100000,1,1.0,0,0.5153882032022076,1,238.0,0.0,0.0,0.0,4.198265114382321,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-03.550000,1,1.0,0,0.4543189341752971,0,114.0,0.0,0.0,0.0,4.415901018225154,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-59.250000,1,1.0,0,0.48564293117863216,1,386.5,0.0,0.0,0.0,6.9720921058556815,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-02-29.050000,1,1.0,0,0.4399935295544947,1,351.5,0.0,0.0,0.0,20.284157551807507,4,2,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-14.700000,1,1.0,0,0.4411698907260348,0,17.5,0.0,0.0,0.0,8.23722320506459,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-27.100000,1,1.0,0,0.47289831095067364,0,31.0,0.0,0.0,0.0,5.5245499343330415,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-14.700000,1,1.0,0,0.4734320764739993,0,76.0,0.0,0.0,0.0,7.103223235413399,0,0,0,1,0,0,1,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-00.850000,1,1.0,0,0.46153846153846156,0,20.5,0.0,0.0,0.0,4.270192551066504,0,0,0,0,0,0,1,0,0,0,99.20181449953424,10000.0,Train,Video1,1
0-02-26.400000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-17.750000,1,1.0,0,0.48141946977906175,0,84.5,0.0,0.0,0.0,6.897996982091999,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-00.050000,1,1.0,0,0.43745085607619416,0,75.0,0.0,0.0,0.0,2.8837938310159505,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-41.200000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-18.650000,1,1.0,0,0.4799503135982258,0,40.0,0.0,0.0,0.0,9.658812649088008,4,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-12.750000,1,1.0,0,0.4839604832151228,0,129.5,0.0,0.0,0.0,11.396742193928569,4,1,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-35.900000,1,1.0,1,0.7722242389548244,0,35.5,0.0,0.0,0.0,44.21260804617395,1,2,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
